1lv,2lv,date,value
МР Сибирь,Абакан,2020-08-20,3.52
МР Сибирь,Абакан,2020-08-21,3.71
МР Сибирь,Абакан,2020-08-22,3.52
МР Сибирь,Абакан,2020-08-23,3.34
МР Сибирь,Абакан,2020-08-24,3.34
МР Сибирь,Абакан,2020-08-25,3.52
МР Сибирь,Абакан,2020-08-26,3.34
МР Сибирь,Абакан,2020-08-27,3.52
МР Сибирь,Абакан,2020-08-28,3.15
МР Сибирь,Абакан,2020-08-29,3.15
МР Сибирь,Абакан,2020-08-30,3.15
МР Сибирь,Абакан,2020-08-31,3.52
МР Сибирь,Абакан,2020-09-01,3.52
МР Сибирь,Абакан,2020-09-02,3.89
МР Сибирь,Абакан,2020-09-03,4.26
МР Сибирь,Абакан,2020-09-04,4.63
МР Сибирь,Абакан,2020-09-05,4.82
МР Сибирь,Абакан,2020-09-06,5.0
МР Сибирь,Абакан,2020-09-07,5.0
МР Сибирь,Абакан,2020-09-08,5.19
МР Сибирь,Абакан,2020-09-09,5.56
МР Сибирь,Абакан,2020-09-10,6.12
МР Сибирь,Абакан,2020-09-11,6.3
МР Сибирь,Абакан,2020-09-12,6.12
МР Сибирь,Абакан,2020-09-13,6.12
МР Сибирь,Абакан,2020-09-14,5.93
МР Сибирь,Абакан,2020-09-15,5.38
МР Сибирь,Абакан,2020-09-16,5.56
МР Сибирь,Абакан,2020-09-17,5.75
МР Сибирь,Абакан,2020-09-18,5.93
МР Сибирь,Абакан,2020-09-19,6.49
МР Сибирь,Абакан,2020-09-20,6.67
МР Сибирь,Абакан,2020-09-21,6.49
МР Сибирь,Абакан,2020-09-22,6.3
МР Сибирь,Абакан,2020-09-23,6.67
МР Сибирь,Абакан,2020-09-24,6.86
МР Сибирь,Абакан,2020-09-25,7.04
МР Сибирь,Абакан,2020-09-26,7.23
МР Сибирь,Абакан,2020-09-27,7.41
МР Сибирь,Абакан,2020-09-28,7.41
МР Сибирь,Абакан,2020-09-29,7.6
МР Сибирь,Абакан,2020-09-30,7.79
МР Сибирь,Абакан,2020-10-01,7.79
МР Сибирь,Абакан,2020-10-02,7.97
МР Сибирь,Абакан,2020-10-03,8.71
МР Сибирь,Абакан,2020-10-04,8.9
МР Сибирь,Абакан,2020-10-05,9.27
МР Сибирь,Абакан,2020-10-06,9.08
МР Сибирь,Абакан,2020-10-07,9.64
МР Сибирь,Абакан,2020-10-08,10.94
МР Сибирь,Абакан,2020-10-09,12.05
МР Сибирь,Абакан,2020-10-10,11.68
МР Сибирь,Абакан,2020-10-11,11.86
МР Сибирь,Абакан,2020-10-12,12.05
МР Сибирь,Абакан,2020-10-13,12.23
МР Сибирь,Абакан,2020-10-14,12.42
МР Сибирь,Абакан,2020-10-15,12.6
МР Сибирь,Абакан,2020-10-16,12.79
МР Сибирь,Абакан,2020-10-17,13.9
МР Сибирь,Абакан,2020-10-18,14.64
МР Сибирь,Абакан,2020-10-19,15.39
МР Сибирь,Абакан,2020-10-20,15.94
МР Сибирь,Абакан,2020-10-21,17.05
МР Сибирь,Абакан,2020-10-22,18.35
МР Сибирь,Абакан,2020-10-23,19.83
МР Сибирь,Абакан,2020-10-24,21.32
МР Сибирь,Абакан,2020-10-25,22.06
МР Сибирь,Абакан,2020-10-26,22.8
МР Сибирь,Абакан,2020-10-27,23.73
МР Сибирь,Абакан,2020-10-28,24.84
МР Сибирь,Абакан,2020-10-29,25.4
МР Сибирь,Абакан,2020-10-30,26.32
МР Сибирь,Абакан,2020-10-31,26.69
МР Сибирь,Абакан,2020-11-01,26.88
МР Сибирь,Абакан,2020-11-02,27.25
МР Сибирь,Абакан,2020-11-03,27.99
МР Сибирь,Абакан,2020-11-04,28.73
МР Сибирь,Абакан,2020-11-05,29.29
МР Сибирь,Абакан,2020-11-06,29.66
МР Сибирь,Абакан,2020-11-07,29.84
МР Сибирь,Абакан,2020-11-08,30.21
МР Сибирь,Абакан,2020-11-09,30.4
МР Сибирь,Абакан,2020-11-10,31.14
МР Сибирь,Абакан,2020-11-11,31.7
МР Сибирь,Абакан,2020-11-12,31.88
МР Сибирь,Абакан,2020-11-13,31.51
МР Сибирь,Абакан,2020-11-14,32.07
МР Сибирь,Абакан,2020-11-15,32.25
МР Сибирь,Абакан,2020-11-16,31.88
МР Сибирь,Абакан,2020-11-17,32.44
МР Сибирь,Абакан,2020-11-18,32.25
МР Сибирь,Абакан,2020-11-19,32.62
МР Сибирь,Абакан,2020-11-20,32.81
МР Сибирь,Абакан,2020-11-21,32.62
МР Сибирь,Абакан,2020-11-22,32.44
МР Сибирь,Абакан,2020-11-23,32.62
МР Сибирь,Абакан,2020-11-24,33.55
МР Сибирь,Абакан,2020-11-25,33.74
МР Сибирь,Абакан,2020-11-26,33.37
МР Сибирь,Абакан,2020-11-27,33.92
МР Сибирь,Абакан,2020-11-28,33.55
МР Сибирь,Абакан,2020-11-29,33.74
МР Сибирь,Абакан,2020-11-30,33.37
МР Сибирь,Абакан,2020-12-01,33.92
МР Сибирь,Абакан,2020-12-02,33.74
МР Сибирь,Абакан,2020-12-03,33.37
МР Сибирь,Абакан,2020-12-04,33.55
МР Сибирь,Абакан,2020-12-05,33.74
МР Сибирь,Абакан,2020-12-06,33.18
МР Сибирь,Абакан,2020-12-07,33.55
МР Сибирь,Абакан,2020-12-08,33.92
МР Сибирь,Абакан,2020-12-09,33.37
МР Сибирь,Абакан,2020-12-10,33.18
МР Сибирь,Абакан,2020-12-11,33.37
МР Сибирь,Абакан,2020-12-12,33.0
МР Сибирь,Абакан,2020-12-13,33.18
МР Сибирь,Абакан,2020-12-14,33.37
МР Сибирь,Абакан,2020-12-15,33.0
МР Сибирь,Абакан,2020-12-16,33.55
МР Сибирь,Абакан,2020-12-17,33.18
МР Сибирь,Абакан,2020-12-18,33.0
МР Сибирь,Абакан,2020-12-19,33.37
МР Сибирь,Абакан,2020-12-20,33.18
МР Сибирь,Абакан,2020-12-21,33.0
МР Сибирь,Абакан,2020-12-22,32.81
МР Сибирь,Абакан,2020-12-23,33.37
МР Сибирь,Абакан,2020-12-24,33.0
МР Сибирь,Абакан,2020-12-25,32.62
МР Сибирь,Абакан,2020-12-26,32.81
МР Сибирь,Абакан,2020-12-27,32.62
МР Сибирь,Абакан,2020-12-28,32.25
МР Сибирь,Абакан,2020-12-29,31.33
МР Сибирь,Абакан,2020-12-30,29.66
МР Сибирь,Абакан,2020-12-31,26.32
МР Сибирь,Абакан,2021-01-01,23.73
МР Сибирь,Абакан,2021-01-02,21.32
МР Сибирь,Абакан,2021-01-03,18.17
МР Сибирь,Абакан,2021-01-04,17.61
МР Сибирь,Абакан,2021-01-05,17.05
МР Сибирь,Абакан,2021-01-06,14.09
МР Сибирь,Абакан,2021-01-07,15.76
МР Сибирь,Абакан,2021-01-08,15.39
МР Сибирь,Абакан,2021-01-09,16.31
МР Сибирь,Абакан,2021-01-10,17.42
МР Сибирь,Абакан,2021-01-11,18.35
МР Сибирь,Абакан,2021-01-12,19.46
МР Сибирь,Абакан,2021-01-13,21.5
МР Сибирь,Абакан,2021-01-14,20.76
МР Сибирь,Абакан,2021-01-15,20.2
МР Сибирь,Абакан,2021-01-16,20.95
МР Сибирь,Абакан,2021-01-17,21.69
МР Сибирь,Абакан,2021-01-18,21.13
МР Сибирь,Абакан,2021-01-19,21.5
МР Сибирь,Абакан,2021-01-20,20.2
МР Сибирь,Абакан,2021-01-21,18.54
МР Сибирь,Абакан,2021-01-22,18.17
МР Сибирь,Абакан,2021-01-23,16.5
МР Сибирь,Абакан,2021-01-24,15.01
МР Сибирь,Абакан,2021-01-25,14.27
МР Сибирь,Абакан,2021-01-26,13.35
МР Сибирь,Абакан,2021-01-27,7.97
МР Сибирь,Абакан,2021-01-28,8.34
МР Сибирь,Абакан,2021-01-29,10.57
МР Сибирь,Абакан,2021-01-30,10.2
МР Сибирь,Абакан,2021-01-31,10.75
МР Сибирь,Абакан,2021-02-01,10.38
МР Сибирь,Абакан,2021-02-02,9.64
МР Сибирь,Абакан,2021-02-03,8.53
МР Сибирь,Абакан,2021-02-04,9.45
МР Сибирь,Абакан,2021-02-05,9.82
МР Сибирь,Абакан,2021-02-06,9.27
МР Сибирь,Абакан,2021-02-07,9.08
МР Сибирь,Абакан,2021-02-08,8.9
МР Сибирь,Абакан,2021-02-09,6.12
МР Сибирь,Абакан,2021-02-10,5.19
МР Сибирь,Абакан,2021-02-11,6.49
МР Сибирь,Абакан,2021-02-12,5.93
МР Сибирь,Абакан,2021-02-13,5.0
МР Сибирь,Абакан,2021-02-14,4.63
МР Сибирь,Абакан,2021-02-15,5.56
МР Сибирь,Абакан,2021-02-16,4.82
МР Сибирь,Абакан,2021-02-17,5.19
МР Сибирь,Абакан,2021-02-18,6.3
МР Сибирь,Абакан,2021-02-19,5.38
МР Сибирь,Абакан,2021-02-20,5.75
МР Сибирь,Абакан,2021-02-21,5.0
МР Сибирь,Абакан,2021-02-22,4.26
МР Сибирь,Абакан,2021-02-23,3.52
МР Сибирь,Абакан,2021-02-24,2.78
МР Сибирь,Абакан,2021-02-25,1.85
МР Сибирь,Абакан,2021-02-26,1.48
МР Сибирь,Абакан,2021-02-27,2.97
МР Сибирь,Абакан,2021-02-28,3.52
МР Сибирь,Абакан,2021-03-01,4.82
МР Сибирь,Абакан,2021-03-02,4.45
МР Сибирь,Абакан,2021-03-03,3.34
МР Сибирь,Абакан,2021-03-04,3.15
МР Сибирь,Абакан,2021-03-05,4.26
МР Сибирь,Абакан,2021-03-06,4.08
МР Сибирь,Абакан,2021-03-07,4.63
МР Сибирь,Абакан,2021-03-08,3.52
МР Сибирь,Абакан,2021-03-09,3.34
МР Сибирь,Абакан,2021-03-10,1.67
МР Сибирь,Абакан,2021-03-11,2.97
МР Сибирь,Абакан,2021-03-12,3.15
МР Сибирь,Абакан,2021-03-13,2.22
МР Сибирь,Абакан,2021-03-14,2.78
МР Сибирь,Абакан,2021-03-15,3.52
МР Сибирь,Абакан,2021-03-16,2.97
МР Сибирь,Абакан,2021-03-17,3.15
МР Сибирь,Абакан,2021-03-18,3.71
МР Сибирь,Абакан,2021-03-19,3.34
МР Сибирь,Абакан,2021-03-20,2.78
МР Сибирь,Абакан,2021-03-21,2.97
МР Сибирь,Абакан,2021-03-22,3.71
МР Сибирь,Абакан,2021-03-23,3.71
МР Сибирь,Абакан,2021-03-24,3.15
МР Сибирь,Абакан,2021-03-25,3.89
МР Сибирь,Абакан,2021-03-26,3.34
МР Сибирь,Абакан,2021-03-27,3.89
МР Сибирь,Абакан,2021-03-28,3.52
МР Сибирь,Абакан,2021-03-29,3.15
МР Сибирь,Абакан,2021-03-30,1.85
МР Сибирь,Абакан,2021-03-31,2.41
МР Сибирь,Абакан,2021-04-01,2.97
МР Сибирь,Абакан,2021-04-02,3.15
МР Сибирь,Абакан,2021-04-03,2.78
МР Сибирь,Абакан,2021-04-04,2.6
МР Сибирь,Абакан,2021-04-05,2.22
МР Сибирь,Абакан,2021-04-06,1.85
МР Сибирь,Абакан,2021-04-07,0.93
МР Сибирь,Абакан,2021-04-08,2.6
МР Сибирь,Абакан,2021-04-09,2.97
МР Сибирь,Абакан,2021-04-10,3.34
МР Сибирь,Абакан,2021-04-11,3.52
МР Сибирь,Абакан,2021-04-12,2.6
МР Сибирь,Абакан,2021-04-13,2.22
МР Сибирь,Абакан,2021-04-14,2.41
МР Сибирь,Абакан,2021-04-15,3.34
МР Сибирь,Абакан,2021-04-16,3.71
МР Сибирь,Абакан,2021-04-17,3.52
МР Сибирь,Абакан,2021-04-18,3.34
МР Сибирь,Абакан,2021-04-19,3.52
МР Сибирь,Абакан,2021-04-20,3.15
МР Сибирь,Абакан,2021-04-21,3.52
МР Сибирь,Абакан,2021-04-22,4.26
МР Сибирь,Абакан,2021-04-23,4.45
МР Сибирь,Алтайский край,2020-04-01,0.04
МР Сибирь,Алтайский край,2020-04-02,0.04
МР Сибирь,Алтайский край,2020-04-04,0.13
МР Сибирь,Алтайский край,2020-04-06,0.21
МР Сибирь,Алтайский край,2020-04-08,0.26
МР Сибирь,Алтайский край,2020-04-09,0.13
МР Сибирь,Алтайский край,2020-04-11,0.34
МР Сибирь,Алтайский край,2020-04-13,0.09
МР Сибирь,Алтайский край,2020-04-14,0.21
МР Сибирь,Алтайский край,2020-04-15,0.13
МР Сибирь,Алтайский край,2020-04-16,0.39
МР Сибирь,Алтайский край,2020-04-17,0.21
МР Сибирь,Алтайский край,2020-04-18,0.43
МР Сибирь,Алтайский край,2020-04-19,0.39
МР Сибирь,Алтайский край,2020-04-20,0.51
МР Сибирь,Алтайский край,2020-04-21,1.84
МР Сибирь,Алтайский край,2020-04-22,0.39
МР Сибирь,Алтайский край,2020-04-23,0.34
МР Сибирь,Алтайский край,2020-04-24,0.34
МР Сибирь,Алтайский край,2020-04-25,2.7
МР Сибирь,Алтайский край,2020-04-26,2.91
МР Сибирь,Алтайский край,2020-04-27,1.16
МР Сибирь,Алтайский край,2020-04-28,0.6
МР Сибирь,Алтайский край,2020-04-29,1.03
МР Сибирь,Алтайский край,2020-04-30,1.46
МР Сибирь,Алтайский край,2020-05-01,1.76
МР Сибирь,Алтайский край,2020-05-02,1.2
МР Сибирь,Алтайский край,2020-05-03,2.01
МР Сибирь,Алтайский край,2020-05-04,1.54
МР Сибирь,Алтайский край,2020-05-05,0.9
МР Сибирь,Алтайский край,2020-05-06,1.41
МР Сибирь,Алтайский край,2020-05-07,0.73
МР Сибирь,Алтайский край,2020-05-08,0.69
МР Сибирь,Алтайский край,2020-05-09,0.86
МР Сибирь,Алтайский край,2020-05-10,1.2
МР Сибирь,Алтайский край,2020-05-11,1.63
МР Сибирь,Алтайский край,2020-05-12,0.86
МР Сибирь,Алтайский край,2020-05-13,1.84
МР Сибирь,Алтайский край,2020-05-14,1.67
МР Сибирь,Алтайский край,2020-05-15,1.63
МР Сибирь,Алтайский край,2020-05-16,1.63
МР Сибирь,Алтайский край,2020-05-17,1.71
МР Сибирь,Алтайский край,2020-05-18,1.93
МР Сибирь,Алтайский край,2020-05-19,1.89
МР Сибирь,Алтайский край,2020-05-20,1.71
МР Сибирь,Алтайский край,2020-05-21,2.44
МР Сибирь,Алтайский край,2020-05-22,3.17
МР Сибирь,Алтайский край,2020-05-23,2.96
МР Сибирь,Алтайский край,2020-05-24,3.04
МР Сибирь,Алтайский край,2020-05-25,3.47
МР Сибирь,Алтайский край,2020-05-26,3.39
МР Сибирь,Алтайский край,2020-05-27,2.96
МР Сибирь,Алтайский край,2020-05-28,3.39
МР Сибирь,Алтайский край,2020-05-29,3.21
МР Сибирь,Алтайский край,2020-05-30,3.04
МР Сибирь,Алтайский край,2020-05-31,2.96
МР Сибирь,Алтайский край,2020-06-01,2.87
МР Сибирь,Алтайский край,2020-06-02,3.0
МР Сибирь,Алтайский край,2020-06-03,3.47
МР Сибирь,Алтайский край,2020-06-04,2.96
МР Сибирь,Алтайский край,2020-06-05,2.44
МР Сибирь,Алтайский край,2020-06-06,2.7
МР Сибирь,Алтайский край,2020-06-07,2.74
МР Сибирь,Алтайский край,2020-06-08,3.04
МР Сибирь,Алтайский край,2020-06-09,2.91
МР Сибирь,Алтайский край,2020-06-10,2.83
МР Сибирь,Алтайский край,2020-06-11,2.96
МР Сибирь,Алтайский край,2020-06-12,2.83
МР Сибирь,Алтайский край,2020-06-13,2.87
МР Сибирь,Алтайский край,2020-06-14,3.09
МР Сибирь,Алтайский край,2020-06-15,2.96
МР Сибирь,Алтайский край,2020-06-16,3.09
МР Сибирь,Алтайский край,2020-06-17,3.04
МР Сибирь,Алтайский край,2020-06-18,2.91
МР Сибирь,Алтайский край,2020-06-19,3.21
МР Сибирь,Алтайский край,2020-06-20,3.13
МР Сибирь,Алтайский край,2020-06-21,3.09
МР Сибирь,Алтайский край,2020-06-22,3.13
МР Сибирь,Алтайский край,2020-06-23,3.17
МР Сибирь,Алтайский край,2020-06-24,3.3
МР Сибирь,Алтайский край,2020-06-25,3.34
МР Сибирь,Алтайский край,2020-06-26,3.26
МР Сибирь,Алтайский край,2020-06-27,3.3
МР Сибирь,Алтайский край,2020-06-28,3.34
МР Сибирь,Алтайский край,2020-06-29,3.34
МР Сибирь,Алтайский край,2020-06-30,3.26
МР Сибирь,Алтайский край,2020-07-01,3.17
МР Сибирь,Алтайский край,2020-07-02,3.21
МР Сибирь,Алтайский край,2020-07-03,3.13
МР Сибирь,Алтайский край,2020-07-04,3.94
МР Сибирь,Алтайский край,2020-07-05,4.93
МР Сибирь,Алтайский край,2020-07-06,5.31
МР Сибирь,Алтайский край,2020-07-07,7.33
МР Сибирь,Алтайский край,2020-07-08,8.06
МР Сибирь,Алтайский край,2020-07-09,9.6
МР Сибирь,Алтайский край,2020-07-10,10.29
МР Сибирь,Алтайский край,2020-07-11,9.77
МР Сибирь,Алтайский край,2020-07-12,9.94
МР Сибирь,Алтайский край,2020-07-13,10.07
МР Сибирь,Алтайский край,2020-07-14,10.2
МР Сибирь,Алтайский край,2020-07-15,10.54
МР Сибирь,Алтайский край,2020-07-16,9.21
МР Сибирь,Алтайский край,2020-07-17,9.77
МР Сибирь,Алтайский край,2020-07-18,8.61
МР Сибирь,Алтайский край,2020-07-19,8.49
МР Сибирь,Алтайский край,2020-07-20,8.19
МР Сибирь,Алтайский край,2020-07-21,7.93
МР Сибирь,Алтайский край,2020-07-22,7.84
МР Сибирь,Алтайский край,2020-07-23,7.11
МР Сибирь,Алтайский край,2020-07-24,6.26
МР Сибирь,Алтайский край,2020-07-25,5.91
МР Сибирь,Алтайский край,2020-07-26,6.0
МР Сибирь,Алтайский край,2020-07-27,5.74
МР Сибирь,Алтайский край,2020-07-28,5.19
МР Сибирь,Алтайский край,2020-07-29,4.59
МР Сибирь,Алтайский край,2020-07-30,4.5
МР Сибирь,Алтайский край,2020-07-31,4.76
МР Сибирь,Алтайский край,2020-08-01,4.63
МР Сибирь,Алтайский край,2020-08-02,4.67
МР Сибирь,Алтайский край,2020-08-03,4.59
МР Сибирь,Алтайский край,2020-08-04,4.07
МР Сибирь,Алтайский край,2020-08-05,4.03
МР Сибирь,Алтайский край,2020-08-06,3.94
МР Сибирь,Алтайский край,2020-08-07,4.07
МР Сибирь,Алтайский край,2020-08-08,4.2
МР Сибирь,Алтайский край,2020-08-09,3.94
МР Сибирь,Алтайский край,2020-08-10,4.07
МР Сибирь,Алтайский край,2020-08-11,3.9
МР Сибирь,Алтайский край,2020-08-12,3.77
МР Сибирь,Алтайский край,2020-08-13,3.73
МР Сибирь,Алтайский край,2020-08-14,3.64
МР Сибирь,Алтайский край,2020-08-15,3.81
МР Сибирь,Алтайский край,2020-08-16,3.81
МР Сибирь,Алтайский край,2020-08-17,3.77
МР Сибирь,Алтайский край,2020-08-18,3.9
МР Сибирь,Алтайский край,2020-08-19,3.64
МР Сибирь,Алтайский край,2020-08-20,3.47
МР Сибирь,Алтайский край,2020-08-21,3.17
МР Сибирь,Алтайский край,2020-08-22,3.13
МР Сибирь,Алтайский край,2020-08-23,3.04
МР Сибирь,Алтайский край,2020-08-24,2.79
МР Сибирь,Алтайский край,2020-08-25,2.83
МР Сибирь,Алтайский край,2020-08-26,3.0
МР Сибирь,Алтайский край,2020-08-27,2.96
МР Сибирь,Алтайский край,2020-08-28,2.87
МР Сибирь,Алтайский край,2020-08-29,2.91
МР Сибирь,Алтайский край,2020-08-30,2.74
МР Сибирь,Алтайский край,2020-08-31,2.79
МР Сибирь,Алтайский край,2020-09-01,2.61
МР Сибирь,Алтайский край,2020-09-02,2.7
МР Сибирь,Алтайский край,2020-09-03,2.74
МР Сибирь,Алтайский край,2020-09-04,2.66
МР Сибирь,Алтайский край,2020-09-05,2.7
МР Сибирь,Алтайский край,2020-09-06,2.61
МР Сибирь,Алтайский край,2020-09-07,2.66
МР Сибирь,Алтайский край,2020-09-08,2.57
МР Сибирь,Алтайский край,2020-09-09,2.74
МР Сибирь,Алтайский край,2020-09-10,2.66
МР Сибирь,Алтайский край,2020-09-11,2.7
МР Сибирь,Алтайский край,2020-09-12,2.61
МР Сибирь,Алтайский край,2020-09-13,2.66
МР Сибирь,Алтайский край,2020-09-14,2.57
МР Сибирь,Алтайский край,2020-09-15,2.7
МР Сибирь,Алтайский край,2020-09-16,2.79
МР Сибирь,Алтайский край,2020-09-17,2.74
МР Сибирь,Алтайский край,2020-09-18,2.83
МР Сибирь,Алтайский край,2020-09-19,2.91
МР Сибирь,Алтайский край,2020-09-20,3.13
МР Сибирь,Алтайский край,2020-09-21,3.13
МР Сибирь,Алтайский край,2020-09-22,3.34
МР Сибирь,Алтайский край,2020-09-23,3.39
МР Сибирь,Алтайский край,2020-09-24,3.47
МР Сибирь,Алтайский край,2020-09-25,3.43
МР Сибирь,Алтайский край,2020-09-26,3.47
МР Сибирь,Алтайский край,2020-09-27,3.73
МР Сибирь,Алтайский край,2020-09-28,3.81
МР Сибирь,Алтайский край,2020-09-29,3.99
МР Сибирь,Алтайский край,2020-09-30,4.07
МР Сибирь,Алтайский край,2020-10-01,4.2
МР Сибирь,Алтайский край,2020-10-02,4.33
МР Сибирь,Алтайский край,2020-10-03,4.41
МР Сибирь,Алтайский край,2020-10-04,4.5
МР Сибирь,Алтайский край,2020-10-05,4.46
МР Сибирь,Алтайский край,2020-10-06,4.89
МР Сибирь,Алтайский край,2020-10-07,5.53
МР Сибирь,Алтайский край,2020-10-08,5.74
МР Сибирь,Алтайский край,2020-10-09,6.09
